VisaType,countries,date_gov,date,delay,delay_days,datetype
Certain Religious Workers,INDIA,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2020-12-01,2024-05-01,1247 days,1247.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
1st,MEXICO,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
2nd,MEXICO,2023-01-15,2024-05-01,472 days,472.0,Final Action Date
3rd,MEXICO,2022-11-22,2024-05-01,526 days,526.0,Final Action Date
Other Workers,MEXICO,2020-10-08,2024-05-01,1301 days,1301.0,Final Action Date
4th,MEXICO,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,MEXICO,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2023-01-15,2024-05-01,472 days,472.0,Final Action Date
3rd,PHILIPPINES,2022-11-22,2024-05-01,526 days,526.0,Final Action Date
Other Workers,PHILIPPINES,2020-05-01,2024-05-01,1461 days,1461.0,Final Action Date
4th,PHILIPPINES,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2020-11-01,2024-05-01,1277 days,1277.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2024-05-01,2024-05-01,0 days,0.0,Final Action Date
1st,ROW,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
2nd,ROW,2023-01-15,2024-04-01,442 days,442.0,Final Action Date
3rd,ROW,2022-11-22,2024-04-01,496 days,496.0,Final Action Date
Other Workers,ROW,2020-10-08,2024-04-01,1271 days,1271.0,Final Action Date
4th,ROW,2020-11-01,2024-04-01,1247 days,1247.0,Final Action Date
Certain Religious Workers,ROW,,2024-04-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
1st,CHINA,2022-09-01,2024-04-01,578 days,578.0,Final Action Date
2nd,CHINA,2020-02-01,2024-04-01,1521 days,1521.0,Final Action Date
3rd,CHINA,2020-09-01,2024-04-01,1308 days,1308.0,Final Action Date
Other Workers,CHINA,2017-01-01,2024-04-01,2647 days,2647.0,Final Action Date
4th,CHINA,2020-11-01,2024-04-01,1247 days,1247.0,Final Action Date
Certain Religious Workers,CHINA,,2024-04-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-12-15,2024-04-01,3030 days,3030.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
1st,INDIA,2021-03-01,2024-04-01,1127 days,1127.0,Final Action Date
2nd,INDIA,2012-04-15,2024-04-01,4369 days,4369.0,Final Action Date
3rd,INDIA,2012-08-15,2024-04-01,4247 days,4247.0,Final Action Date
Other Workers,INDIA,2012-08-15,2024-04-01,4247 days,4247.0,Final Action Date
4th,INDIA,2020-11-01,2024-04-01,1247 days,1247.0,Final Action Date
Certain Religious Workers,INDIA,,2024-04-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2020-12-01,2024-04-01,1217 days,1217.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
1st,MEXICO,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
2nd,MEXICO,2023-01-15,2024-04-01,442 days,442.0,Final Action Date
3rd,MEXICO,2022-11-22,2024-04-01,496 days,496.0,Final Action Date
Other Workers,MEXICO,2020-10-08,2024-04-01,1271 days,1271.0,Final Action Date
4th,MEXICO,2020-11-01,2024-04-01,1247 days,1247.0,Final Action Date
Certain Religious Workers,MEXICO,,2024-04-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2023-01-15,2024-04-01,442 days,442.0,Final Action Date
3rd,PHILIPPINES,2022-11-22,2024-04-01,496 days,496.0,Final Action Date
Other Workers,PHILIPPINES,2020-05-01,2024-04-01,1431 days,1431.0,Final Action Date
4th,PHILIPPINES,2020-11-01,2024-04-01,1247 days,1247.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2024-04-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2024-04-01,2024-04-01,0 days,0.0,Final Action Date
1st,ROW,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
2nd,ROW,2022-11-22,2024-03-01,465 days,465.0,Final Action Date
3rd,ROW,2022-09-08,2024-03-01,540 days,540.0,Final Action Date
Other Workers,ROW,2020-09-08,2024-03-01,1270 days,1270.0,Final Action Date
4th,ROW,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
Certain Religious Workers,ROW,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
1st,CHINA,2022-07-15,2024-03-01,595 days,595.0,Final Action Date
2nd,CHINA,2020-01-01,2024-03-01,1521 days,1521.0,Final Action Date
3rd,CHINA,2020-09-01,2024-03-01,1277 days,1277.0,Final Action Date
Other Workers,CHINA,2017-01-01,2024-03-01,2616 days,2616.0,Final Action Date
4th,CHINA,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
Certain Religious Workers,CHINA,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-12-15,2024-03-01,2999 days,2999.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
1st,INDIA,2020-10-01,2024-03-01,1247 days,1247.0,Final Action Date
2nd,INDIA,2012-03-01,2024-03-01,4383 days,4383.0,Final Action Date
3rd,INDIA,2012-07-01,2024-03-01,4261 days,4261.0,Final Action Date
Other Workers,INDIA,2012-07-01,2024-03-01,4261 days,4261.0,Final Action Date
4th,INDIA,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
Certain Religious Workers,INDIA,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2020-12-01,2024-03-01,1186 days,1186.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
1st,MEXICO,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-11-22,2024-03-01,465 days,465.0,Final Action Date
3rd,MEXICO,2022-09-08,2024-03-01,540 days,540.0,Final Action Date
Other Workers,MEXICO,2020-09-08,2024-03-01,1270 days,1270.0,Final Action Date
4th,MEXICO,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
Certain Religious Workers,MEXICO,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-11-22,2024-03-01,465 days,465.0,Final Action Date
3rd,PHILIPPINES,2022-09-08,2024-03-01,540 days,540.0,Final Action Date
Other Workers,PHILIPPINES,2020-05-01,2024-03-01,1400 days,1400.0,Final Action Date
4th,PHILIPPINES,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2019-12-01,2024-03-01,1552 days,1552.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2024-03-01,2024-03-01,0 days,0.0,Final Action Date
1st,ROW,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
2nd,ROW,2022-11-15,2024-02-01,443 days,443.0,Final Action Date
3rd,ROW,2022-09-01,2024-02-01,518 days,518.0,Final Action Date
Other Workers,ROW,2020-09-01,2024-02-01,1248 days,1248.0,Final Action Date
4th,ROW,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
Certain Religious Workers,ROW,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
1st,CHINA,2022-07-01,2024-02-01,580 days,580.0,Final Action Date
2nd,CHINA,2020-01-01,2024-02-01,1492 days,1492.0,Final Action Date
3rd,CHINA,2020-09-01,2024-02-01,1248 days,1248.0,Final Action Date
Other Workers,CHINA,2017-01-01,2024-02-01,2587 days,2587.0,Final Action Date
4th,CHINA,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
Certain Religious Workers,CHINA,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-12-15,2024-02-01,2970 days,2970.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
1st,INDIA,2020-09-01,2024-02-01,1248 days,1248.0,Final Action Date
2nd,INDIA,2012-03-01,2024-02-01,4354 days,4354.0,Final Action Date
3rd,INDIA,2012-07-01,2024-02-01,4232 days,4232.0,Final Action Date
Other Workers,INDIA,2012-07-01,2024-02-01,4232 days,4232.0,Final Action Date
4th,INDIA,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
Certain Religious Workers,INDIA,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2020-12-01,2024-02-01,1157 days,1157.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
1st,MEXICO,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-11-15,2024-02-01,443 days,443.0,Final Action Date
3rd,MEXICO,2022-09-01,2024-02-01,518 days,518.0,Final Action Date
Other Workers,MEXICO,2020-09-01,2024-02-01,1248 days,1248.0,Final Action Date
4th,MEXICO,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
Certain Religious Workers,MEXICO,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-11-15,2024-02-01,443 days,443.0,Final Action Date
3rd,PHILIPPINES,2022-09-01,2024-02-01,518 days,518.0,Final Action Date
Other Workers,PHILIPPINES,2020-05-01,2024-02-01,1371 days,1371.0,Final Action Date
4th,PHILIPPINES,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2019-05-15,2024-02-01,1723 days,1723.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2024-02-01,2024-02-01,0 days,0.0,Final Action Date
