VisaType,countries,date_gov,date,delay,delay_days,datetype
"5th Regional Center
(I5 and R5)",MEXICO,,2021-12-01,,,Final Action Date
1st,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
4th,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-12-01,2021-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2021-12-01,,,Final Action Date
1st,ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
2nd,ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
3rd,ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Other Workers,ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
4th,ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2021-11-01,,,Final Action Date
1st,CHINA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
2nd,CHINA,2018-11-15,2021-11-01,1082 days,1082.0,Final Action Date
3rd,CHINA,2018-03-22,2021-11-01,1320 days,1320.0,Final Action Date
Other Workers,CHINA,2010-03-01,2021-11-01,4263 days,4263.0,Final Action Date
4th,CHINA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-11-22,2021-11-01,2171 days,2171.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2021-11-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-11-01,962 days,962.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-11-01,962 days,962.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-11-01,,,Final Action Date
1st,INDIA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
2nd,INDIA,2011-12-01,2021-11-01,3623 days,3623.0,Final Action Date
3rd,INDIA,2012-01-15,2021-11-01,3578 days,3578.0,Final Action Date
Other Workers,INDIA,2012-01-15,2021-11-01,3578 days,3578.0,Final Action Date
4th,INDIA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2021-11-01,,,Final Action Date
1st,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
2nd,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
3rd,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
4th,MEXICO,2020-04-01,2021-11-01,579 days,579.0,Final Action Date
Certain Religious Workers,MEXICO,2020-04-01,2021-11-01,579 days,579.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2021-11-01,,,Final Action Date
1st,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
4th,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-11-01,2021-11-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2021-11-01,,,Final Action Date
1st,ROW,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
2nd,ROW,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
3rd,ROW,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Other Workers,ROW,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
4th,ROW,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,,2021-10-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2021-10-01,,,Final Action Date
1st,CHINA,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
2nd,CHINA,2018-07-01,2021-10-01,1188 days,1188.0,Final Action Date
3rd,CHINA,2019-01-08,2021-10-01,997 days,997.0,Final Action Date
Other Workers,CHINA,2010-02-01,2021-10-01,4260 days,4260.0,Final Action Date
4th,CHINA,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,,2021-10-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-11-22,2021-10-01,2140 days,2140.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2021-10-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-10-01,931 days,931.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-10-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-10-01,2021-10-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-10-01,,,Final Action Date
1st,INDIA,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
2nd,INDIA,2011-09-01,2021-10-01,3683 days,3683.0,Final Action Date
3rd,INDIA,2014-01-01,2021-10-01,2830 days,2830.0,Final Action Date
Other Workers,INDIA,2014-01-01,2021-10-01,2830 days,2830.0,Final Action Date
4th,INDIA,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,,2021-10-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2021-10-01,,,Final Action Date
1st,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
2nd,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
3rd,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
4th,MEXICO,2020-03-01,2021-10-01,579 days,579.0,Final Action Date
Certain Religious Workers,MEXICO,,2021-10-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2021-10-01,,,Final Action Date
1st,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
4th,PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2021-10-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-10-01,2021-10-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2021-10-01,,,Final Action Date
1st,ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
3rd,ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Other Workers,ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
4th,ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2021-09-01,,,Final Action Date
1st,CHINA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,CHINA,2018-07-01,2021-09-01,1158 days,1158.0,Final Action Date
3rd,CHINA,2019-01-08,2021-09-01,967 days,967.0,Final Action Date
Other Workers,CHINA,2010-02-01,2021-09-01,4230 days,4230.0,Final Action Date
4th,CHINA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-11-22,2021-09-01,2110 days,2110.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2021-09-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-09-01,901 days,901.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-15,2021-09-01,901 days,901.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-09-01,,,Final Action Date
1st,INDIA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,INDIA,2011-09-01,2021-09-01,3653 days,3653.0,Final Action Date
3rd,INDIA,2014-01-01,2021-09-01,2800 days,2800.0,Final Action Date
Other Workers,INDIA,2014-01-01,2021-09-01,2800 days,2800.0,Final Action Date
4th,INDIA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2021-09-01,,,Final Action Date
1st,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
3rd,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
4th,MEXICO,2020-03-01,2021-09-01,549 days,549.0,Final Action Date
Certain Religious Workers,MEXICO,2020-03-01,2021-09-01,549 days,549.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2021-09-01,,,Final Action Date
1st,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
4th,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2021-09-01,,,Final Action Date
1st,VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
2nd,VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
4th,VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2021-09-01,2021-09-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,,2021-09-01,,,Final Action Date
1st,ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
3rd,ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Other Workers,ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
4th,ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2021-08-01,,,Final Action Date
1st,CHINA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,CHINA,2018-04-01,2021-08-01,1218 days,1218.0,Final Action Date
3rd,CHINA,2019-01-08,2021-08-01,936 days,936.0,Final Action Date
Other Workers,CHINA,2010-01-01,2021-08-01,4230 days,4230.0,Final Action Date
4th,CHINA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-11-15,2021-08-01,2086 days,2086.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2021-08-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-08-01,2021-08-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-08-01,2021-08-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-01-01,2021-08-01,943 days,943.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-01-01,2021-08-01,943 days,943.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-08-01,,,Final Action Date
1st,INDIA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,INDIA,2011-06-01,2021-08-01,3714 days,3714.0,Final Action Date
3rd,INDIA,2013-07-01,2021-08-01,2953 days,2953.0,Final Action Date
Other Workers,INDIA,2013-07-01,2021-08-01,2953 days,2953.0,Final Action Date
4th,INDIA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2021-08-01,,,Final Action Date
1st,MEXICO,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,MEXICO,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
3rd,MEXICO,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
4th,MEXICO,2020-02-01,2021-08-01,547 days,547.0,Final Action Date
Certain Religious Workers,MEXICO,2020-02-01,2021-08-01,547 days,547.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2021-08-01,,,Final Action Date
1st,PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
4th,PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2021-08-01,,,Final Action Date
1st,VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
2nd,VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
4th,VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2021-08-01,2021-08-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,,2021-08-01,,,Final Action Date
1st,ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
3rd,ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Other Workers,ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
4th,ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2021-07-01,,,Final Action Date
1st,CHINA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,CHINA,2017-12-01,2021-07-01,1308 days,1308.0,Final Action Date
3rd,CHINA,2019-01-01,2021-07-01,912 days,912.0,Final Action Date
Other Workers,CHINA,2009-12-01,2021-07-01,4230 days,4230.0,Final Action Date
4th,CHINA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2015-11-08,2021-07-01,2062 days,2062.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2021-07-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-07-01,2021-07-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2021-07-01,2021-07-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2021-07-01,943 days,943.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2021-07-01,943 days,943.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2021-07-01,,,Final Action Date
1st,INDIA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,INDIA,2011-06-01,2021-07-01,3683 days,3683.0,Final Action Date
3rd,INDIA,2013-01-01,2021-07-01,3103 days,3103.0,Final Action Date
Other Workers,INDIA,2013-01-01,2021-07-01,3103 days,3103.0,Final Action Date
4th,INDIA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2021-07-01,,,Final Action Date
1st,MEXICO,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,MEXICO,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
3rd,MEXICO,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
4th,MEXICO,2020-02-01,2021-07-01,516 days,516.0,Final Action Date
Certain Religious Workers,MEXICO,2020-02-01,2021-07-01,516 days,516.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2021-07-01,,,Final Action Date
1st,PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
4th,PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2021-07-01,,,Final Action Date
1st,VIETNAM,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
2nd,VIETNAM,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2021-07-01,2021-07-01,0 days,0.0,Final Action Date
